trialNum,numTeachers,numAssessments,numExamples,teacherMu,exponent,simType,IG
0,5,0,10,0.6,0.8,sortedPerfectTeachers,111.55785427223967
0,5,0,10,0.6,0.9,unsortedNaiveTeachers,53.222303370811396
0,5,0,10,0.6,0.9,unsortedUncertainTeachers,60.741150255626664
0,5,0,10,0.6,0.9,sortedUncertainTeachers,60.74115025562667
0,5,0,10,0.6,0.9,unsortedPerfectTeachers,69.06374968139994
0,5,0,10,0.6,0.9,sortedPerfectTeachers,124.06030817960263
0,5,0,10,0.6,1.0,unsortedNaiveTeachers,47.615635312137364
0,5,0,10,0.6,1.0,unsortedUncertainTeachers,64.0871237895013
0,5,0,10,0.6,1.0,sortedUncertainTeachers,64.08712378950129
0,5,0,10,0.6,1.0,unsortedPerfectTeachers,77.88932881123634
0,5,0,10,0.6,1.0,sortedPerfectTeachers,138.63215357654713
0,5,0,10,0.6,1.1,unsortedNaiveTeachers,55.622404613575526
0,5,0,10,0.6,1.1,unsortedUncertainTeachers,67.93417737895881
0,5,0,10,0.6,1.1,sortedUncertainTeachers,67.93417737895882
0,5,0,10,0.6,1.1,unsortedPerfectTeachers,88.24648819047646
0,5,0,10,0.6,1.1,sortedPerfectTeachers,155.64642740959104
0,5,0,10,0.6,1.2,unsortedNaiveTeachers,54.11854818530574
0,5,0,10,0.6,1.2,unsortedUncertainTeachers,72.32652272490377
0,5,0,10,0.6,1.2,sortedUncertainTeachers,72.32652272490375
0,5,0,10,0.6,1.2,unsortedPerfectTeachers,100.61749698626726
0,5,0,10,0.6,1.2,sortedPerfectTeachers,175.54457091796584
0,10,0,10,0.6,0.8,unsortedNaiveTeachers,41.5064373044207
0,10,0,10,0.6,0.8,unsortedUncertainTeachers,57.86542677590346
0,10,0,10,0.6,0.8,sortedUncertainTeachers,57.865426775903465
0,10,0,10,0.6,0.8,unsortedPerfectTeachers,65.32972707271807
0,10,0,10,0.6,0.8,sortedPerfectTeachers,112.7815233477224
0,10,0,10,0.6,0.9,unsortedNaiveTeachers,51.57684144677177
0,10,0,10,0.6,0.9,unsortedUncertainTeachers,60.74115025562666
